STN_CODE,Sampling_date,State,Location,Type,SO2,NO2
142,9/12/2021,Andhra Pradesh,Hyderabad,Legal,60.7,21.2
143,10/14/2020,Andhra Pradesh,Hyderabad,Product Management,52.3,59.2
144,3/27/2021,Gujarat,SURAT,Business Development,66.2,96.5
145,9/29/2020,Andhra Pradesh,Hyderabad,Engineering,18.2,9.9
146,6/23/2021,Andhra Pradesh,Hyderabad,Support,35.3,41.1
147,2/10/2021,Andhra Pradesh,Hyderabad,Training,8.9,27.1
148,1/17/2021,Andhra Pradesh,Hyderabad,Engineering,49.5,7.6
149,5/4/2021,Gujarat,SURAT,Training,55.1,27.0
150,10/6/2020,Andhra Pradesh,Hyderabad,Engineering,27.6,3.2
151,8/11/2021,Gujarat,SURAT,Training,52.3,99.3
152,1/27/2021,Andhra Pradesh,Hyderabad,Support,96.4,18.4
153,3/24/2021,Andhra Pradesh,Hyderabad,Engineering,95.0,44.0
154,7/10/2021,Gujarat,SURAT,Business Development,89.4,91.9
155,12/25/2020,Gujarat,SURAT,Legal,65.5,83.3
156,6/27/2021,Gujarat,SURAT,Human Resources,16.7,63.4
157,9/9/2021,Andhra Pradesh,Hyderabad,Business Development,60.0,94.1
158,12/29/2020,Gujarat,SURAT,Human Resources,72.8,24.9
159,6/6/2021,Gujarat,SURAT,Legal,4.7,100.0
160,7/3/2021,Gujarat,SURAT,Accounting,33.3,28.9
161,4/2/2021,Gujarat,SURAT,Marketing,8.8,26.5
162,8/21/2021,Gujarat,SURAT,Legal,78.3,46.4
163,5/16/2021,Gujarat,SURAT,Business Development,5.2,31.5
164,12/1/2020,Gujarat,SURAT,Legal,28.1,7.7
165,5/3/2021,Gujarat,SURAT,Services,69.5,17.7
166,2/8/2021,Gujarat,SURAT,Engineering,5.4,44.7
167,9/12/2021,Gujarat,SURAT,Legal,48.9,3.2
168,8/27/2021,Gujarat,SURAT,Accounting,20.0,28.0
169,12/21/2020,Gujarat,SURAT,Legal,94.6,95.1
170,4/15/2021,Andhra Pradesh,Hyderabad,Human Resources,47.7,69.8
171,11/18/2020,Andhra Pradesh,Hyderabad,Support,3.3,15.0
172,3/4/2021,Andhra Pradesh,Hyderabad,Marketing,19.8,48.3
173,11/13/2020,Gujarat,SURAT,Engineering,81.9,45.3
174,4/25/2021,Andhra Pradesh,Hyderabad,Human Resources,99.3,64.8
175,4/30/2021,Andhra Pradesh,Hyderabad,Sales,12.6,20.3
176,8/5/2021,Andhra Pradesh,Hyderabad,Engineering,88.4,11.2
177,2/21/2021,Gujarat,SURAT,Business Development,37.0,14.7
178,4/21/2021,Andhra Pradesh,Hyderabad,Research and Development,24.6,95.3
179,3/19/2021,Andhra Pradesh,Hyderabad,Sales,51.3,52.1
180,4/7/2021,Gujarat,SURAT,Product Management,5.4,28.0
181,10/21/2020,Gujarat,SURAT,Product Management,19.6,66.6
182,9/14/2021,Andhra Pradesh,Hyderabad,Training,6.2,51.2
183,1/5/2021,Andhra Pradesh,Hyderabad,Marketing,42.3,79.2
184,6/18/2021,Gujarat,SURAT,Human Resources,96.8,99.7
185,4/22/2021,Gujarat,SURAT,Accounting,95.6,13.8
186,12/9/2020,Andhra Pradesh,Hyderabad,Marketing,64.5,45.6
187,1/11/2021,Andhra Pradesh,Hyderabad,Marketing,58.3,86.6
188,2/26/2021,Gujarat,SURAT,Marketing,27.9,53.8
189,1/18/2021,Gujarat,SURAT,Engineering,43.1,9.2
190,11/3/2020,Andhra Pradesh,Hyderabad,Services,9.3,5.6
191,1/12/2021,Andhra Pradesh,Hyderabad,Business Development,1.9,94.7
192,8/8/2021,Andhra Pradesh,Hyderabad,Product Management,31.7,61.0
193,8/9/2021,Gujarat,SURAT,Marketing,26.8,30.7
194,8/8/2021,Andhra Pradesh,Hyderabad,Sales,25.4,33.6
195,1/25/2021,Andhra Pradesh,Hyderabad,Engineering,96.2,32.2
196,9/22/2020,Andhra Pradesh,Hyderabad,Legal,11.9,99.0
197,4/21/2021,Gujarat,SURAT,Engineering,39.9,9.8
198,5/13/2021,Andhra Pradesh,Hyderabad,Sales,65.7,43.6
199,6/12/2021,Gujarat,SURAT,Legal,16.1,36.2
200,7/6/2021,Andhra Pradesh,Hyderabad,Training,25.4,81.3
201,5/24/2021,Andhra Pradesh,Hyderabad,Marketing,14.5,24.1
202,12/31/2020,Andhra Pradesh,Hyderabad,Support,99.6,80.7
203,4/9/2021,Andhra Pradesh,Hyderabad,Human Resources,98.6,23.1
204,8/27/2021,Gujarat,SURAT,Engineering,95.4,56.8
205,3/24/2021,Andhra Pradesh,Hyderabad,Marketing,60.6,3.0
206,6/27/2021,Andhra Pradesh,Hyderabad,Product Management,26.9,6.3
207,9/12/2021,Gujarat,SURAT,Services,73.1,22.5
208,11/14/2020,Andhra Pradesh,Hyderabad,Research and Development,62.2,26.9
209,3/8/2021,Andhra Pradesh,Hyderabad,Engineering,52.9,91.8
210,4/14/2021,Andhra Pradesh,Hyderabad,Marketing,91.8,75.0
211,8/8/2021,Andhra Pradesh,Hyderabad,Support,88.0,46.4
212,1/6/2021,Andhra Pradesh,Hyderabad,Sales,77.8,62.7
213,1/31/2021,Andhra Pradesh,Hyderabad,Legal,70.1,55.3
214,6/28/2021,Gujarat,SURAT,Human Resources,53.9,95.3
215,5/18/2021,Gujarat,SURAT,Legal,11.3,67.6
216,5/12/2021,Gujarat,SURAT,Human Resources,76.4,67.4
217,6/29/2021,Andhra Pradesh,Hyderabad,Product Management,10.0,80.3
218,7/28/2021,Andhra Pradesh,Hyderabad,Accounting,73.6,54.8
219,8/31/2021,Andhra Pradesh,Hyderabad,Services,82.1,64.4
220,9/2/2021,Gujarat,SURAT,Services,95.5,99.3
221,12/10/2020,Gujarat,SURAT,Business Development,82.1,66.5
222,5/15/2021,Gujarat,SURAT,Sales,82.6,42.6
223,1/3/2021,Andhra Pradesh,Hyderabad,Human Resources,36.9,75.6
224,9/12/2021,Andhra Pradesh,Hyderabad,Research and Development,30.0,68.6
225,3/8/2021,Andhra Pradesh,Hyderabad,Accounting,86.8,66.3
226,3/2/2021,Andhra Pradesh,Hyderabad,Training,78.8,42.5
227,6/16/2021,Andhra Pradesh,Hyderabad,Support,68.9,27.4
228,2/21/2021,Andhra Pradesh,Hyderabad,Training,14.1,57.7
229,6/17/2021,Gujarat,SURAT,Research and Development,87.5,65.5
230,4/25/2021,Gujarat,SURAT,Services,40.8,14.3
231,5/20/2021,Andhra Pradesh,Hyderabad,Training,49.7,20.4
232,8/16/2021,Andhra Pradesh,Hyderabad,Product Management,86.3,76.0
233,12/10/2020,Gujarat,SURAT,Product Management,22.3,17.9
234,10/31/2020,Andhra Pradesh,Hyderabad,Business Development,73.0,10.3
235,9/12/2021,Andhra Pradesh,Hyderabad,Training,37.2,58.9
236,7/22/2021,Andhra Pradesh,Hyderabad,Legal,96.6,46.3
237,4/3/2021,Gujarat,SURAT,Sales,94.4,60.3
238,7/20/2021,Gujarat,SURAT,Sales,26.7,71.7
239,1/9/2021,Gujarat,SURAT,Sales,39.3,66.8
240,2/23/2021,Andhra Pradesh,Hyderabad,Training,5.6,10.0
241,7/17/2021,Andhra Pradesh,Hyderabad,Product Management,91.6,13.9
242,10/7/2020,Andhra Pradesh,Hyderabad,Legal,67.1,52.6
243,4/15/2021,Gujarat,SURAT,Accounting,3.6,97.6
244,4/22/2021,Andhra Pradesh,Hyderabad,Business Development,50.6,58.6
245,5/1/2021,Gujarat,SURAT,Engineering,49.3,86.6
246,9/6/2021,Gujarat,SURAT,Product Management,39.4,56.2
247,1/19/2021,Andhra Pradesh,Hyderabad,Services,42.2,91.5
248,10/19/2020,Andhra Pradesh,Hyderabad,Legal,43.4,47.0
249,5/16/2021,Andhra Pradesh,Hyderabad,Training,25.4,2.0
250,6/9/2021,Andhra Pradesh,Hyderabad,Marketing,24.2,4.5
251,7/14/2021,Gujarat,SURAT,Training,38.7,53.5
252,11/2/2020,Gujarat,SURAT,Research and Development,35.2,55.6
253,9/27/2020,Gujarat,SURAT,Human Resources,56.6,42.5
254,3/31/2021,Gujarat,SURAT,Legal,94.4,69.2
255,8/12/2021,Gujarat,SURAT,Accounting,38.7,35.4
256,3/28/2021,Gujarat,SURAT,Support,73.5,55.8
257,7/15/2021,Gujarat,SURAT,Training,94.7,8.6
258,4/15/2021,Andhra Pradesh,Hyderabad,Product Management,42.5,23.1
259,1/27/2021,Andhra Pradesh,Hyderabad,Accounting,45.5,9.7
260,9/21/2020,Gujarat,SURAT,Research and Development,37.7,13.3
261,4/22/2021,Gujarat,SURAT,Marketing,67.7,14.4
262,12/22/2020,Gujarat,SURAT,Business Development,1.4,90.4
263,5/26/2021,Andhra Pradesh,Hyderabad,Services,78.1,96.0
264,7/20/2021,Andhra Pradesh,Hyderabad,Services,68.3,85.0
265,5/31/2021,Andhra Pradesh,Hyderabad,Research and Development,41.9,24.3
266,7/29/2021,Andhra Pradesh,Hyderabad,Human Resources,15.6,17.7
267,3/5/2021,Gujarat,SURAT,Marketing,51.0,78.7
268,2/22/2021,Gujarat,SURAT,Services,5.5,81.6
269,6/11/2021,Gujarat,SURAT,Sales,41.9,35.6
270,6/24/2021,Andhra Pradesh,Hyderabad,Accounting,30.7,7.3
271,6/26/2021,Andhra Pradesh,Hyderabad,Training,90.1,41.5
272,5/12/2021,Andhra Pradesh,Hyderabad,Human Resources,15.6,43.7
273,5/21/2021,Andhra Pradesh,Hyderabad,Sales,70.5,75.3
274,2/14/2021,Gujarat,SURAT,Training,40.1,42.4
275,5/29/2021,Andhra Pradesh,Hyderabad,Product Management,19.5,11.4
276,2/24/2021,Gujarat,SURAT,Product Management,60.5,72.8
277,5/15/2021,Andhra Pradesh,Hyderabad,Accounting,95.0,84.7
278,5/13/2021,Gujarat,SURAT,Support,60.1,32.7
279,9/12/2021,Gujarat,SURAT,Training,43.0,50.6
280,9/24/2020,Andhra Pradesh,Hyderabad,Marketing,26.0,36.7
281,6/25/2021,Gujarat,SURAT,Marketing,12.1,35.0
282,3/5/2021,Andhra Pradesh,Hyderabad,Legal,38.8,32.1
283,4/3/2021,Andhra Pradesh,Hyderabad,Marketing,45.2,95.5
284,12/24/2020,Gujarat,SURAT,Marketing,93.1,26.3
285,5/29/2021,Andhra Pradesh,Hyderabad,Product Management,34.6,83.2
286,3/31/2021,Gujarat,SURAT,Training,39.1,40.9
287,2/25/2021,Andhra Pradesh,Hyderabad,Accounting,3.9,64.4
288,3/17/2021,Andhra Pradesh,Hyderabad,Marketing,6.1,6.6
289,12/17/2020,Andhra Pradesh,Hyderabad,Engineering,35.4,65.2
290,5/7/2021,Gujarat,SURAT,Product Management,61.9,53.5
291,3/7/2021,Gujarat,SURAT,Engineering,46.1,28.8
292,8/7/2021,Andhra Pradesh,Hyderabad,Human Resources,95.3,87.4
293,11/10/2020,Gujarat,SURAT,Human Resources,74.2,88.6
294,5/13/2021,Gujarat,SURAT,Business Development,76.7,27.1
295,7/5/2021,Gujarat,SURAT,Sales,43.9,64.6
296,8/21/2021,Gujarat,SURAT,Legal,22.6,65.1
297,1/21/2021,Andhra Pradesh,Hyderabad,Sales,68.6,11.7
298,9/18/2021,Gujarat,SURAT,Marketing,54.6,11.8
299,6/25/2021,Andhra Pradesh,Hyderabad,Legal,88.2,76.1
300,6/11/2021,Gujarat,SURAT,Legal,39.1,49.0
301,9/7/2021,Gujarat,SURAT,Sales,30.5,34.1
302,5/1/2021,Gujarat,SURAT,Business Development,48.3,76.8
303,11/3/2020,Andhra Pradesh,Hyderabad,Training,71.0,98.6
304,9/12/2021,Andhra Pradesh,Hyderabad,Research and Development,97.7,37.6
305,1/31/2021,Gujarat,SURAT,Marketing,55.6,13.3
306,5/12/2021,Andhra Pradesh,Hyderabad,Accounting,99.1,91.3
307,4/4/2021,Andhra Pradesh,Hyderabad,Engineering,45.6,21.7
308,4/19/2021,Gujarat,SURAT,Marketing,5.4,37.9
309,2/1/2021,Gujarat,SURAT,Accounting,64.1,56.6
310,4/2/2021,Gujarat,SURAT,Services,63.9,72.3
311,10/25/2020,Andhra Pradesh,Hyderabad,Business Development,40.2,72.9
312,5/5/2021,Andhra Pradesh,Hyderabad,Support,24.1,82.7
313,12/14/2020,Andhra Pradesh,Hyderabad,Services,63.4,63.6
314,7/22/2021,Gujarat,SURAT,Training,53.3,8.4
315,4/1/2021,Andhra Pradesh,Hyderabad,Training,37.5,87.5
316,7/12/2021,Gujarat,SURAT,Training,50.8,75.1
317,1/6/2021,Andhra Pradesh,Hyderabad,Business Development,14.8,76.6
318,11/25/2020,Andhra Pradesh,Hyderabad,Support,13.9,2.6
319,2/22/2021,Gujarat,SURAT,Accounting,32.1,60.9
320,8/18/2021,Andhra Pradesh,Hyderabad,Business Development,66.4,99.5
321,8/21/2021,Andhra Pradesh,Hyderabad,Human Resources,3.1,27.6
322,4/4/2021,Gujarat,SURAT,Marketing,26.9,86.1
323,9/27/2020,Gujarat,SURAT,Research and Development,87.4,4.1
324,10/24/2020,Andhra Pradesh,Hyderabad,Accounting,74.8,42.7
325,10/18/2020,Andhra Pradesh,Hyderabad,Marketing,71.6,10.0
326,8/29/2021,Gujarat,SURAT,Business Development,29.0,37.0
327,11/22/2020,Andhra Pradesh,Hyderabad,Human Resources,13.9,64.0
328,10/15/2020,Gujarat,SURAT,Accounting,30.6,64.0
329,3/31/2021,Andhra Pradesh,Hyderabad,Marketing,65.1,62.1
330,10/31/2020,Andhra Pradesh,Hyderabad,Accounting,42.7,34.8
331,9/21/2020,Gujarat,SURAT,Training,64.3,78.1
332,4/22/2021,Andhra Pradesh,Hyderabad,Training,49.3,33.7
333,2/8/2021,Gujarat,SURAT,Research and Development,75.5,60.4
334,8/11/2021,Gujarat,SURAT,Marketing,80.7,40.5
335,3/26/2021,Andhra Pradesh,Hyderabad,Training,29.1,97.1
336,9/22/2020,Gujarat,SURAT,Human Resources,66.0,89.8
337,6/16/2021,Andhra Pradesh,Hyderabad,Marketing,16.2,96.7
338,3/5/2021,Gujarat,SURAT,Training,67.4,43.2
339,8/16/2021,Gujarat,SURAT,Training,81.1,98.9
340,2/6/2021,Andhra Pradesh,Hyderabad,Human Resources,89.5,26.2
341,4/18/2021,Andhra Pradesh,Hyderabad,Sales,79.0,78.2
342,1/18/2021,Andhra Pradesh,Hyderabad,Marketing,15.1,22.1
343,4/12/2021,Gujarat,SURAT,Business Development,42.0,26.5
344,11/11/2020,Andhra Pradesh,Hyderabad,Engineering,21.6,39.6
345,8/12/2021,Gujarat,SURAT,Sales,36.4,46.3
346,4/1/2021,Gujarat,SURAT,Business Development,78.2,71.2
347,2/12/2021,Andhra Pradesh,Hyderabad,Product Management,14.0,44.9
348,12/27/2020,Gujarat,SURAT,Engineering,29.5,8.6
349,1/19/2021,Andhra Pradesh,Hyderabad,Support,9.7,24.5
350,2/24/2021,Gujarat,SURAT,Training,13.4,37.1
351,12/8/2020,Gujarat,SURAT,Support,26.1,72.1
352,7/28/2021,Gujarat,SURAT,Sales,12.5,19.3
353,6/14/2021,Gujarat,SURAT,Research and Development,64.6,69.4
354,10/7/2020,Andhra Pradesh,Hyderabad,Engineering,21.4,52.1
355,7/25/2021,Gujarat,SURAT,Services,98.0,78.1
356,1/14/2021,Andhra Pradesh,Hyderabad,Sales,8.2,87.7
357,12/1/2020,Andhra Pradesh,Hyderabad,Marketing,65.6,84.6
358,8/11/2021,Gujarat,SURAT,Research and Development,92.2,6.8
359,10/19/2020,Andhra Pradesh,Hyderabad,Sales,64.4,42.4
360,9/29/2020,Andhra Pradesh,Hyderabad,Marketing,41.4,13.7
361,7/4/2021,Gujarat,SURAT,Marketing,51.6,80.6
362,7/12/2021,Andhra Pradesh,Hyderabad,Business Development,66.8,2.3
363,6/7/2021,Andhra Pradesh,Hyderabad,Support,8.7,23.7
364,5/20/2021,Andhra Pradesh,Hyderabad,Accounting,96.4,90.7
365,5/17/2021,Andhra Pradesh,Hyderabad,Support,23.7,43.1
366,2/23/2021,Andhra Pradesh,Hyderabad,Human Resources,92.1,7.3
367,4/8/2021,Gujarat,SURAT,Accounting,35.7,26.6
368,1/15/2021,Gujarat,SURAT,Services,89.6,18.9
369,9/20/2021,Gujarat,SURAT,Engineering,3.6,8.9
370,3/3/2021,Gujarat,SURAT,Marketing,74.9,50.7
371,3/4/2021,Andhra Pradesh,Hyderabad,Research and Development,77.2,45.0
372,2/13/2021,Andhra Pradesh,Hyderabad,Engineering,44.8,32.5
373,3/2/2021,Gujarat,SURAT,Accounting,97.2,97.7
374,11/25/2020,Andhra Pradesh,Hyderabad,Legal,48.9,7.0
375,9/10/2021,Gujarat,SURAT,Human Resources,41.4,87.7
376,10/24/2020,Andhra Pradesh,Hyderabad,Legal,51.6,80.7
377,7/3/2021,Gujarat,SURAT,Legal,63.9,88.4
378,3/15/2021,Andhra Pradesh,Hyderabad,Product Management,26.2,3.8
379,12/8/2020,Gujarat,SURAT,Research and Development,36.2,88.0
380,12/23/2020,Andhra Pradesh,Hyderabad,Sales,72.6,31.1
381,3/9/2021,Gujarat,SURAT,Training,54.0,17.0
382,12/1/2020,Andhra Pradesh,Hyderabad,Research and Development,44.7,35.4
383,12/30/2020,Gujarat,SURAT,Services,76.1,40.3
384,9/4/2021,Andhra Pradesh,Hyderabad,Accounting,93.3,41.0
385,2/10/2021,Gujarat,SURAT,Training,92.5,48.7
386,12/18/2020,Gujarat,SURAT,Marketing,46.2,22.1
387,1/21/2021,Gujarat,SURAT,Research and Development,71.0,71.0
388,10/1/2020,Gujarat,SURAT,Research and Development,44.7,16.2
389,10/29/2020,Andhra Pradesh,Hyderabad,Product Management,47.2,53.9
390,4/9/2021,Gujarat,SURAT,Legal,76.4,53.2
391,2/21/2021,Andhra Pradesh,Hyderabad,Research and Development,41.6,83.6
